customer_id,customer_city,customer_state
hCT0x9JiGXBQ,varzea paulista,SP
PxA7fv9spyhx,armacao dos buzios,RJ
g3nXeJkGI0Qw,jandira,SP
EOEsCQ6QlpIg,uberlandia,MG
mVz5LO2Vd6cL,ilhabela,SP
UkqnhxmX7YMP,porto uniao,SC
85jiDiGSfhTu,guarulhos,SP
gDdkaN8b9s1g,mogi-guacu,SP
9Csx6oXlpLl1,bebedouro,SP
gZTPKLPRnreg,sao paulo,SP
TDEBQrhIwApB,itaperuna,RJ
1k71TCYNFCzj,serra,ES
IfWKDQHkjLDd,sao goncalo,RJ
kZ0rkJCJ6N5y,mogi das cruzes,SP
zsCKIdqYLV01,caico,RN
FrEvnEiMKGpr,sao paulo,SP
3zvaY9gUH9bO,barra mansa,RJ
bUornDCZmRD4,sao paulo,SP
qEVfsXFU3er9,apora,BA
mPg90mQwmDOP,brasilia,DF
v6GelvnCrAk5,sao paulo,SP
lZ0pUFQvjZNA,lorena,SP
ckZATUjYdFd3,sao paulo,SP
GuxDt46GwQEd,canoas,RS
SPV4UclettEh,nova iguacu,RJ
GpdbWoJi61Qc,caruaru,PE
KD8KlSTtIm3Z,sao lourenco da mata,PE
QU7yWUgfIpJX,novo hamburgo,RS
rgjb3WchpjHg,goiania,GO
JyHhNu9cbCo1,belo horizonte,MG
Jw0zo2CWiEs7,sao paulo,SP
MXiUFyGLUs2Z,nova serrana,MG
oiBrZODbJTvz,guacui,ES
mcuPjOLRkNpR,sao paulo,SP
yOjH9Exn64WQ,sao paulo,SP
yca6TkmY4yQm,sao joao de meriti,RJ
LooHWGt3K5gp,sao pedro da uniao,MG
oZqYD7eyV1EJ,brasilia,DF
0hj86xqZbYSV,sao jose,SC
l2wCGNSY1l3Z,itatiba,SP
ukZ709Rl8bdF,sao paulo,SP
iFsAJRrzVaTS,sao paulo,SP
tSG89uyaK6MS,ribeirao preto,SP
Ex7BhwPvrGyQ,santana do acarau,CE
f4Frm4WEvj1g,sao paulo,SP
ORO4ADUB1jHd,curitiba,PR
jQ0u9oBPe3Mg,sao paulo,SP
0I8vL0BlM1p1,atibaia,SP
JtX09eqY5lk3,sao paulo,SP
sk3z82bQhZAO,recife,PE
eSqRKROmKF9Y,florianopolis,SC
SNzA2roBQaGK,rio de janeiro,RJ
IGPOK4wVaGbv,taubate,SP
45WzrefbE0kB,sao paulo,SP
dGD1MVag3snm,curitiba,PR
EI8c9beFpTSQ,santa ines,MA
YanexVtkhb2B,santos,SP
iaDXrhsLGSc6,belo horizonte,MG
hWGGX7sEla9R,araras,SP
MNcdWG4E5iDb,brasilia,DF
7mxdMPX1ERJj,uberlandia,MG
JJe2PPwxISzG,santa cruz do rio pardo,SP
cnalXbv8lRur,cubatao,SP
Vpl3DrXMAEhb,itapolis,SP
cWwtMYBNlwy1,porto alegre,RS
bEh2OYyGVzcI,timoteo,MG
