order_id,product_id,seller_id,price,shipping_charges,total_item_value
Axfy13Hk4PIk,90K0C1fIyQUf,ZWM05J9LcBSF,223.51,84.65,308.15999999999997
v6px92oS8cLG,qejhpMGGVcsl,IjlpYfhUbRQs,170.8,23.79,194.59
Ulpf9skrhjfm,qUS5d2pEAyxJ,77p2EYxcM9MD,64.4,17.38,81.78
bwJVWupf2keN,639iGvMyv0De,jWzS0ayv9TGf,264.5,30.72,295.22
Dd0QnrMk9Cj5,1lycYGcsic2F,l1pYW6GBnPMr,779.9,30.66,810.56
VjTVGzqe8U6R,TpFZIk33uyGn,XePbD5Ocm6Yk,263.9,40.26,304.15999999999997
xNba906m4TM1,Y0T4Ca4BXK8U,ftbUjJ6Gsazg,966.9,98.76,1065.66
VEDSMTavbQwk,IUykT5z5LcPW,RKad98cTxhSb,1534.9,66.9,1601.8000000000002
DzNM8wrcMGFH,0UHKKyYmxWfq,K0qPVGdA91KO,779.0,34.86,813.86
NpJz7zF9U1ae,MJ82dNJNiV7U,2a07LobkzHUx,95.03,60.35,155.38
mHyhzcUeLGj2,wdV7yJzaz3Su,coi9xkdo66JI,135.91,48.71,184.62
StM5K4TLyrt5,V3ksL8RRt2uO,cijw7pZK3THP,37.89,72.67,110.56
Q97dFuo1kaq9,vndXhZ66Bwpl,1DpugyRBC5sk,28.82,16.92,45.74
07j6mlMhSVtx,2RxPIb6Sjlm1,V74ci3dl1Npa,222.98,31.89,254.87
kxa1InBj9gwP,DXG0TFaZjGHO,V8Stg8HdXCTe,36.89,59.0,95.89
P5R6jr1qZdh4,YCMS6jUWbEbe,2IxTbqKqgUdA,139.98,14.91,154.89
HqV5f8K2UYoA,CBuRjOln99hg,Wk0JznmZOo6h,83.36,6.87,90.23
j5rwgECNf14O,tfgKHMdnTKpJ,RsUgQvBvc24M,185.6,21.82,207.42
43It0OEHVyJe,l0Q038BC2u3G,5Tuxay3bG3t7,403.9,31.0,434.9
ddXx4T93MeaI,V84ooqHQgeH2,STj3c88kfxpu,167.0,20.9,187.9
NXDsEGbl1pUC,E9OiMOkPkNam,coi9xkdo66JI,318.33,27.57,345.9
MhDudBaAab78,aYw1jx6U0ZzQ,VnAPb1lEZYQ6,3.49,30.66,34.15
XupzjrovQeez,kuUbPNBMgk7o,tYbtiPwsAhmw,109.82,50.83,160.64999999999998
YTztQOHlvuBg,SESkOgF0nWnh,YVBAT3QqF9Qj,89.1,34.6,123.69999999999999
xfXLgLbCo5BC,06Zem5ml9euJ,l1pYW6GBnPMr,68.0,20.9,88.9
gVMP1bPDg69L,ro08JPncYzLh,r7VxefoTVHbb,509.99,21.76,531.75
9G9EHbafs7NW,lkPBqpnGNyKe,O04i82YS0uAJ,165.0,9.45,174.45
INolFarYfmEO,saFIRNuu8V6H,qeM9i4J3ypy2,100.0,6.79,106.79
LV0vJIDricq1,uicu7Mpz6xlZ,V3iKL8r9W9NR,127.77,38.66,166.43
VtQvdStc00Xd,uCnShK796Rpb,OkFthMYQJf3H,692.0,11.36,703.36
tOTdnjpI8Udp,tRV6VjdwdLAm,fBHtndjqwueV,295.0,110.14,405.14
ebR5efLCCpiq,Hwaj6cncrjwO,9fFFM6RBxCkT,186.98,17.44,204.42
YOKYMSjKRCMN,YgnBaIterOVh,FRAkUwkY4tZy,113.49,50.82,164.31
57XZHymoJ10l,SLTlrWtcYt1m,r7VxefoTVHbb,692.0,2.75,694.75
yUz40ih0jYGt,yZJweQSasMAW,yfNN6zuwypOw,17.6,68.69,86.28999999999999
IeZYtitws7WU,kgF2KLJ8Ao3M,3Q4DoxWsVAXa,37.84,56.27,94.11000000000001
ZPkh9QhjG7SK,8kUYWjdaVCxf,oI8R7WsNWWBc,50.21,161.82,212.03
KJL5uJuZzKxr,QzAC1fDWMbmk,ShJbjTW0ZGor,26.68,29.56,56.239999999999995
SelY2hgVvruM,R2u3pJSgF7Gr,OnC6iPAbNc8Z,59.88,37.93,97.81
0QqNX4xLriht,lSVmLWTOmgtw,rFT13UJuGo0Q,28.69,57.11,85.8
HNXQI2lmI4AR,bDhxHlkU0GeF,sdO4rR2udeZV,676.97,39.12,716.09
