order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_timestamp,order_estimated_delivery_date,delivery_delay,delivery_time,order_year_month,order_year,order_month,customer_zip_code_prefix,customer_city,customer_state
Axfy13Hk4PIk,hCT0x9JiGXBQ,delivered,2017-10-22 18:57:54,2017-10-22 19:14:13,2017-10-26 22:19:52,2017-11-09,-14.0,4.0,2017-10,2017,10,58125,varzea paulista,SP
v6px92oS8cLG,PxA7fv9spyhx,delivered,2018-06-20 21:40:31,2018-06-20 22:20:20,2018-07-03 22:51:22,2018-07-24,-21.0,13.0,2018-06,2018,6,3112,armacao dos buzios,RJ
Ulpf9skrhjfm,g3nXeJkGI0Qw,delivered,2018-02-16 16:19:31,2018-02-17 16:15:35,2018-02-27 01:29:50,2018-03-08,-9.0,10.0,2018-02,2018,2,4119,jandira,SP
bwJVWupf2keN,EOEsCQ6QlpIg,delivered,2018-08-18 18:04:29,2018-08-18 18:15:16,2018-08-27 20:03:51,2018-09-19,-23.0,9.0,2018-08,2018,8,18212,uberlandia,MG
Dd0QnrMk9Cj5,mVz5LO2Vd6cL,delivered,2017-12-22 16:44:04,2017-12-22 17:31:31,2018-01-05 19:22:49,2018-01-18,-13.0,14.0,2017-12,2017,12,88868,ilhabela,SP
VjTVGzqe8U6R,UkqnhxmX7YMP,delivered,2017-09-01 14:38:16,2017-09-01 14:50:24,2017-09-15 18:57:50,2017-09-26,-11.0,14.0,2017-09,2017,9,25902,porto uniao,SC
xNba906m4TM1,85jiDiGSfhTu,delivered,2018-04-23 21:03:00,2018-04-24 18:18:18,2018-04-25 20:14:38,2018-05-04,-9.0,1.0,2018-04,2018,4,4762,guarulhos,SP
VEDSMTavbQwk,gDdkaN8b9s1g,delivered,2018-02-23 14:49:39,2018-02-23 15:16:13,2018-04-02 14:12:50,2018-03-15,18.0,37.0,2018-02,2018,2,75870,mogi-guacu,SP
DzNM8wrcMGFH,9Csx6oXlpLl1,delivered,2017-11-24 19:12:37,2017-11-25 04:54:03,2017-12-11 13:09:32,2017-12-14,-3.0,16.0,2017-11,2017,11,69068,bebedouro,SP
NpJz7zF9U1ae,gZTPKLPRnreg,delivered,2017-11-30 11:48:21,2017-11-30 13:31:19,2017-12-14 16:38:47,2018-01-03,-20.0,14.0,2017-11,2017,11,20921,sao paulo,SP
mHyhzcUeLGj2,TDEBQrhIwApB,delivered,2018-04-02 22:39:59,2018-04-03 22:35:18,2018-04-13 18:12:30,2018-04-23,-10.0,10.0,2018-04,2018,4,1223,itaperuna,RJ
StM5K4TLyrt5,1k71TCYNFCzj,delivered,2018-05-30 09:25:25,2018-05-30 09:35:16,2018-06-21 18:22:15,2018-07-05,-14.0,22.0,2018-05,2018,5,11703,serra,ES
Q97dFuo1kaq9,IfWKDQHkjLDd,delivered,2018-04-10 00:17:56,2018-04-10 00:35:11,2018-04-20 18:03:58,2018-05-04,-14.0,10.0,2018-04,2018,4,32407,sao goncalo,RJ
07j6mlMhSVtx,kZ0rkJCJ6N5y,delivered,2018-05-02 22:52:10,2018-05-03 00:13:21,2018-05-09 23:48:32,2018-05-18,-9.0,7.0,2018-05,2018,5,13843,mogi das cruzes,SP
kxa1InBj9gwP,zsCKIdqYLV01,delivered,2017-04-24 20:06:41,2017-04-24 20:22:24,2017-05-05 10:22:27,2017-05-25,-20.0,10.0,2017-04,2017,4,2961,caico,RN
P5R6jr1qZdh4,FrEvnEiMKGpr,canceled,2017-07-24 11:38:43,2017-07-24 11:50:18,,2017-08-07,,,2017-07,2017,7,28630,sao paulo,SP
HqV5f8K2UYoA,3zvaY9gUH9bO,delivered,2018-06-15 15:44:21,2018-06-15 16:00:22,2018-06-25 22:27:56,2018-07-11,-16.0,10.0,2018-06,2018,6,59020,barra mansa,RJ
j5rwgECNf14O,bUornDCZmRD4,delivered,2018-03-15 11:13:23,2018-03-15 11:29:14,2018-04-09 18:54:36,2018-04-03,6.0,25.0,2018-03,2018,3,3440,sao paulo,SP
43It0OEHVyJe,qEVfsXFU3er9,delivered,2017-03-05 16:10:01,2017-03-05 16:25:11,2017-04-18 15:28:21,2017-04-06,12.0,43.0,2017-03,2017,3,3936,apora,BA
ddXx4T93MeaI,mPg90mQwmDOP,delivered,2017-10-03 12:58:11,2017-10-03 13:07:28,2017-10-09 14:06:32,2017-10-30,-21.0,6.0,2017-10,2017,10,85140,brasilia,DF
NXDsEGbl1pUC,v6GelvnCrAk5,delivered,2018-04-02 00:31:04,2018-04-02 00:47:44,2018-04-06 20:53:33,2018-04-18,-12.0,4.0,2018-04,2018,4,18500,sao paulo,SP
MhDudBaAab78,lZ0pUFQvjZNA,delivered,2017-08-16 19:36:38,2017-08-18 02:35:25,2017-08-24 21:47:56,2017-09-05,-12.0,8.0,2017-08,2017,8,37589,lorena,SP
XupzjrovQeez,ckZATUjYdFd3,delivered,2017-06-21 16:41:10,2017-06-22 02:45:18,2017-06-29 12:43:45,2017-07-04,-5.0,7.0,2017-06,2017,6,54070,sao paulo,SP
YTztQOHlvuBg,GuxDt46GwQEd,delivered,2017-07-02 21:10:38,2017-07-02 21:25:15,2017-07-13 19:19:52,2017-07-27,-14.0,10.0,2017-07,2017,7,95912,canoas,RS
xfXLgLbCo5BC,SPV4UclettEh,delivered,2018-02-18 12:03:25,2018-02-18 12:10:25,2018-02-28 20:06:27,2018-03-13,-13.0,10.0,2018-02,2018,2,75132,nova iguacu,RJ
gVMP1bPDg69L,GpdbWoJi61Qc,delivered,2017-12-30 02:36:20,2018-01-04 23:17:35,2018-01-23 20:28:38,2018-02-05,-13.0,24.0,2017-12,2017,12,20011,caruaru,PE
9G9EHbafs7NW,KD8KlSTtIm3Z,delivered,2018-07-18 18:42:47,2018-07-18 18:55:28,2018-08-03 14:43:03,2018-08-13,-10.0,15.0,2018-07,2018,7,85155,sao lourenco da mata,PE
INolFarYfmEO,QU7yWUgfIpJX,delivered,2018-06-30 21:08:36,2018-06-30 21:30:06,2018-07-11 17:56:33,2018-08-03,-23.0,10.0,2018-06,2018,6,35360,novo hamburgo,RS
LV0vJIDricq1,rgjb3WchpjHg,delivered,2017-11-05 19:14:22,2017-11-07 07:30:35,2017-11-17 20:32:53,2017-11-29,-12.0,12.0,2017-11,2017,11,57690,goiania,GO
VtQvdStc00Xd,JyHhNu9cbCo1,delivered,2017-03-07 19:19:19,2017-03-08 03:05:17,2017-03-21 10:41:53,2017-04-03,-13.0,13.0,2017-03,2017,3,57180,belo horizonte,MG
tOTdnjpI8Udp,Jw0zo2CWiEs7,delivered,2018-07-10 12:15:42,2018-07-10 12:30:21,2018-07-15 16:13:38,2018-07-18,-3.0,5.0,2018-07,2018,7,95925,sao paulo,SP
ebR5efLCCpiq,MXiUFyGLUs2Z,delivered,2018-02-03 17:08:22,2018-02-03 17:30:03,2018-03-06 07:14:36,2018-03-13,-7.0,30.0,2018-02,2018,2,89031,nova serrana,MG
YOKYMSjKRCMN,oiBrZODbJTvz,delivered,2018-04-10 08:42:53,2018-04-10 08:55:33,2018-04-20 10:59:02,2018-05-02,-12.0,10.0,2018-04,2018,4,17017,guacui,ES
57XZHymoJ10l,mcuPjOLRkNpR,delivered,2017-09-05 13:32:39,2017-09-05 13:50:10,2017-09-13 16:54:10,2017-09-29,-16.0,8.0,2017-09,2017,9,77807,sao paulo,SP
