delivery_time,customer_zip_code_prefix,order_month,order_year,customer_state
9.0,14702,11,2017,PR
5.0,18601,6,2018,SP
3.0,90680,12,2017,SP
15.0,38440,2,2018,PA
24.0,48405,8,2017,SP
8.0,3553,4,2018,RJ
7.0,76730,6,2018,MG
9.0,32150,2,2018,MG
9.0,71503,12,2017,SP
25.0,18217,12,2017,MG
8.0,70867,1,2018,SP
14.0,81290,4,2018,BA
3.0,53080,2,2018,SP
12.0,28899,1,2018,SC
8.0,4114,9,2017,MG
12.0,75830,5,2017,MT
5.0,17505,1,2018,SP
28.0,5386,11,2017,RJ
5.0,4153,3,2017,SP
39.0,86066,3,2017,RN
16.0,68580,9,2017,PR
24.0,4563,11,2017,SP
2.0,85914,3,2018,SP
9.0,38500,1,2018,SP
7.0,76812,8,2018,PR
2.0,28925,6,2018,SP
13.0,20910,11,2017,GO
14.0,84285,9,2017,SP
18.0,71967,11,2017,RS
31.0,39363,12,2017,MT
11.0,79600,6,2018,SP
12.0,4676,11,2017,ES
15.0,86818,2,2018,SC
5.0,72887,10,2017,SP
17.0,15102,5,2018,ES
26.0,2051,10,2016,MG
26.0,56180,7,2018,RJ
12.0,20051,1,2018,SP
11.0,4567,1,2018,SP
10.0,17420,10,2017,SP
11.0,31746,10,2017,SP
3.0,68400,8,2018,SP
15.0,80330,5,2018,SE
2.0,47630,8,2018,SP
6.0,50741,6,2018,MG
4.0,29321,4,2018,SP
37.0,45534,2,2018,SC
6.0,62300,8,2018,PE
8.0,5711,12,2017,MG
10.0,49270,3,2018,SP
12.0,19810,7,2017,RS
11.0,3191,11,2017,RJ
2.0,29735,4,2018,SP
19.0,9770,5,2018,MG
13.0,88803,8,2018,SP
12.0,74660,5,2017,RJ
8.0,75071,4,2017,SC
9.0,6631,7,2017,RJ
7.0,32310,8,2018,SP
6.0,70238,3,2018,SP
1.0,30644,8,2018,SP
17.0,60533,2,2017,RS
8.0,39243,2,2018,SP
2.0,13414,7,2018,SP
13.0,37245,2,2018,SC
2.0,1402,4,2018,SP
11.0,29936,2,2018,SP
16.0,1404,8,2017,PR
7.0,18217,7,2018,MG
10.0,2077,2,2018,RS
13.0,85040,7,2017,RS
6.0,32415,5,2018,SP
6.0,39670,1,2018,SP
13.0,6028,1,2018,SP
10.0,72338,6,2018,RS
2.0,4143,8,2018,SP
11.0,5846,1,2018,SP
20.0,77783,3,2018,RJ
13.0,59076,3,2017,SP
14.0,46970,12,2017,AC
3.0,50830,5,2018,SP
12.0,83604,9,2017,SP
5.0,17206,4,2018,SP
10.0,58397,1,2018,SP
4.0,54210,9,2017,SP
9.0,71971,8,2017,ES
12.0,37469,8,2018,SP
20.0,58704,3,2018,RS
6.0,12914,5,2017,MG
15.0,3050,2,2018,MG
20.0,11703,5,2018,ES
35.0,29107,5,2018,BA
23.0,14811,2,2018,SP
12.0,41815,11,2017,SP
10.0,6172,11,2017,RS
9.0,48370,3,2017,RJ
6.0,72502,6,2018,SP
14.0,13806,11,2017,RJ
6.0,87208,8,2017,RS
37.0,32250,9,2017,PB
10.0,9684,7,2018,SP
17.0,3968,5,2018,SP
12.0,12061,10,2017,GO
8.0,89970,4,2018,MG
12.0,29156,4,2018,RJ
6.0,72980,3,2018,SP
11.0,79700,7,2018,RJ
5.0,83411,1,2018,PR
15.0,78885,5,2018,SP
7.0,18271,3,2018,PR
8.0,84020,6,2018,PR
8.0,89590,2,2018,PR
12.0,38745,9,2017,RJ
12.0,79415,6,2017,SP
3.0,13710,5,2018,SP
16.0,7176,4,2018,RJ
1.0,37584,5,2018,SP
6.0,47740,8,2018,SP
2.0,71065,5,2017,SP
11.0,98955,11,2017,PE
5.0,74715,10,2017,SP
16.0,77423,2,2017,SP
6.0,14460,4,2018,SP
13.0,63100,5,2018,PR
40.0,64009,3,2018,CE
12.0,49517,8,2017,SP
7.0,38380,4,2018,PR
16.0,24030,3,2018,BA
18.0,14500,11,2017,RJ
6.0,68730,5,2017,MG
17.0,45655,12,2017,MG
45.0,3553,3,2018,RJ
13.0,74675,12,2017,SP
4.0,8535,5,2018,RJ
11.0,48780,4,2018,ES
12.0,90640,1,2018,MG
5.0,13276,3,2017,ES
11.0,89082,5,2017,PR
10.0,4231,4,2018,DF
9.0,21640,12,2017,SC
13.0,85670,12,2017,PR
8.0,39723,6,2018,MG
2.0,4863,5,2018,SP
14.0,36560,4,2018,SP
14.0,77478,3,2018,SE
9.0,9540,10,2017,SP
20.0,5183,12,2017,BA
7.0,54250,4,2018,MG
17.0,15735,12,2017,SP
11.0,4347,4,2017,RS
22.0,72850,2,2018,BA
18.0,17054,3,2018,MT
2.0,39610,5,2018,SP
7.0,4144,4,2018,SC
13.0,36290,12,2017,SP
2.0,86600,3,2017,SP
12.0,75180,2,2017,RJ
2.0,72312,7,2017,PR
12.0,38819,5,2017,SP
3.0,71917,10,2017,MG
5.0,64578,4,2018,MG
10.0,35495,4,2018,SP
7.0,93611,8,2018,RJ
7.0,73030,12,2017,RS
15.0,75526,1,2018,RJ
7.0,34515,5,2018,SP
9.0,78061,5,2017,ES
11.0,5520,3,2018,MG
11.0,58411,7,2017,SP
6.0,72405,8,2018,SC
4.0,17522,1,2018,SC
7.0,3146,5,2017,RJ
22.0,29312,6,2017,PB
34.0,76934,11,2017,CE
9.0,5282,5,2018,SP
4.0,3472,10,2017,SP
8.0,74030,1,2018,SP
4.0,88818,3,2018,SP
8.0,33930,11,2017,RJ
5.0,45029,3,2017,RJ
15.0,49517,5,2017,SP
22.0,96842,3,2018,RS
32.0,59528,3,2018,BA
12.0,7714,7,2017,PA
1.0,3870,4,2018,SP
14.0,2567,2,2018,SP
15.0,36750,3,2017,SP
6.0,2232,4,2017,SP
10.0,83370,5,2017,SP
7.0,74483,8,2018,SP
7.0,7144,7,2017,RS
12.0,37245,4,2018,SC
6.0,2180,3,2018,RJ
13.0,25956,3,2018,SP
3.0,66035,6,2017,RJ
18.0,84607,5,2018,SP
