kmeans_label,dbscan_label,agglomerative_label,gmm_label
4,0,4,5
2,1,-1,2
3,-1,-1,2
5,2,1,2
2,1,-1,2
2,1,-1,2
3,23,-1,2
4,31,-1,1
4,4,1,2
0,3,-1,3
0,14,2,3
4,4,-1,2
2,1,1,2
4,5,-1,3
5,2,1,2
5,6,-1,5
4,4,-1,2
4,4,1,2
2,-1,-1,1
4,-1,1,2
4,4,1,2
5,7,-1,0
4,-1,-1,2
5,8,0,3
5,9,-1,3
4,-1,-1,0
3,10,-1,2
4,15,-1,3
5,11,-1,1
4,-1,2,1
5,12,1,2
5,55,4,5
6,-1,-1,4
4,13,3,0
4,-1,-1,3
2,-1,0,3
5,11,2,1
4,4,1,2
0,14,-1,3
5,8,0,3
5,9,-1,3
4,15,0,3
1,16,-1,3
0,-1,-1,3
0,14,-1,3
5,-1,1,2
4,-1,0,3
5,2,1,2
5,11,2,1
5,2,-1,2
2,-1,2,1
2,17,-1,1
4,19,-1,2
5,2,-1,2
2,1,-1,2
4,-1,-1,5
4,4,1,2
5,2,-1,2
2,42,4,5
5,7,3,0
6,-1,-1,4
2,-1,3,0
1,18,-1,3
4,19,-1,2
5,9,-1,3
2,-1,3,0
3,10,-1,2
6,20,-1,4
3,23,1,2
4,13,3,0
5,2,1,2
4,4,-1,2
4,31,-1,1
6,21,0,4
5,8,-1,3
5,11,-1,1
2,22,3,0
3,23,-1,2
4,4,-1,2
1,-1,0,3
5,2,1,2
6,20,0,4
5,2,-1,2
3,10,-1,2
5,2,-1,2
4,4,-1,2
2,-1,-1,3
2,1,1,2
5,2,1,2
5,2,-1,2
4,13,-1,0
5,11,-1,1
3,23,1,2
3,10,1,2
4,19,-1,2
5,6,4,5
1,16,0,3
4,4,-1,2
4,24,-1,2
4,4,1,2
4,24,-1,2
5,9,2,3
5,2,1,2
3,-1,1,2
2,-1,3,0
3,25,-1,2
0,-1,2,3
5,7,3,0
2,26,1,2
4,4,-1,2
0,27,-1,3
4,4,1,2
4,0,-1,5
5,7,-1,0
4,28,-1,2
5,12,-1,2
5,12,-1,2
5,2,-1,2
5,6,4,5
5,8,0,3
2,1,-1,2
4,4,-1,2
5,9,-1,3
4,4,-1,2
3,10,-1,2
5,7,-1,0
5,2,-1,2
4,4,-1,2
3,29,-1,2
5,9,-1,3
4,35,-1,0
5,2,1,2
5,2,1,2
5,7,-1,0
5,7,-1,0
3,10,1,2
5,6,-1,5
2,1,-1,2
4,4,-1,2
3,10,-1,2
4,4,-1,2
4,33,-1,5
5,11,-1,1
4,19,-1,2
4,-1,1,2
5,6,-1,5
4,4,-1,2
5,2,-1,2
4,4,-1,2
0,40,2,3
4,-1,-1,3
4,4,-1,2
5,11,-1,1
6,21,-1,4
3,25,-1,2
0,27,-1,3
4,4,-1,2
1,18,0,3
4,5,-1,3
1,-1,-1,3
4,24,-1,2
4,-1,-1,3
3,25,-1,2
5,6,-1,5
2,-1,1,2
0,27,-1,3
4,15,-1,3
3,10,-1,2
5,12,1,2
4,13,3,0
6,21,-1,4
4,4,-1,2
5,2,1,2
4,-1,-1,2
5,2,-1,2
5,2,-1,2
3,23,-1,2
4,-1,2,1
1,30,-1,3
3,-1,-1,2
5,9,2,3
4,31,2,1
2,-1,-1,2
4,0,-1,5
5,8,-1,3
4,24,1,2
5,2,-1,2
5,2,-1,2
3,-1,-1,2
4,24,-1,2
4,15,-1,3
6,20,-1,4
4,24,-1,2
5,12,-1,2
1,47,-1,3
1,-1,-1,3
0,14,2,3
4,13,-1,0
2,-1,-1,0
4,-1,1,2
5,2,-1,2
4,4,-1,2
4,24,-1,2
5,2,-1,2
5,2,-1,2
2,1,-1,2
5,2,-1,2
5,9,-1,3
5,6,-1,5
4,15,0,3
4,-1,0,3
2,-1,2,3
4,4,1,2
3,10,-1,2
5,2,1,2
3,10,-1,2
5,7,-1,0
4,19,1,2
1,30,0,3
5,6,-1,5
5,9,-1,3
5,7,3,0
4,4,1,2
3,-1,-1,2
2,-1,-1,2
0,27,-1,3
5,2,-1,2
5,2,-1,2
4,-1,-1,2
4,-1,2,1
5,2,1,2
4,15,-1,3
4,24,-1,2
5,6,4,5
1,-1,-1,3
4,4,-1,2
5,11,-1,1
3,-1,-1,2
5,2,-1,2
2,-1,3,0
1,18,-1,3
5,7,-1,0
2,1,-1,2
5,8,-1,3
5,12,-1,2
4,31,2,1
3,32,-1,2
4,28,1,2
3,10,1,2
3,32,-1,2
4,5,-1,3
4,19,1,2
4,33,4,5
6,-1,-1,4
5,6,4,5
5,8,-1,3
4,15,-1,3
4,4,1,2
5,7,-1,0
5,7,3,0
4,34,-1,3
4,13,-1,0
4,24,-1,2
3,10,1,2
5,2,-1,2
4,4,1,2
0,-1,-1,3
4,33,4,5
5,9,-1,3
4,-1,-1,5
5,9,-1,3
4,34,-1,3
4,35,-1,0
2,-1,-1,2
5,2,1,2
1,18,-1,3
5,2,-1,2
4,35,-1,0
5,12,-1,2
5,8,-1,3
4,-1,-1,2
3,25,-1,2
