order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_timestamp,order_estimated_delivery_date,delivery_delay,delivery_time,order_year_month,order_year,order_month,customer_zip_code_prefix,customer_city,customer_state,loyal_customer,kmeans_label,dbscan_label,agglomerative_label,gmm_label
Axfy13Hk4PIk,hCT0x9JiGXBQ,delivered,2017-10-22 18:57:54,2017-10-22 19:14:13,2017-10-26 22:19:52,2017-11-09,-14.0,4.0,2017-10,2017,10,58125,varzea paulista,SP,0,4.0,0.0,4.0,5.0
v6px92oS8cLG,PxA7fv9spyhx,delivered,2018-06-20 21:40:31,2018-06-20 22:20:20,2018-07-03 22:51:22,2018-07-24,-21.0,13.0,2018-06,2018,6,3112,armacao dos buzios,RJ,0,2.0,1.0,-1.0,2.0
Ulpf9skrhjfm,g3nXeJkGI0Qw,delivered,2018-02-16 16:19:31,2018-02-17 16:15:35,2018-02-27 01:29:50,2018-03-08,-9.0,10.0,2018-02,2018,2,4119,jandira,SP,0,3.0,-1.0,-1.0,2.0
bwJVWupf2keN,EOEsCQ6QlpIg,delivered,2018-08-18 18:04:29,2018-08-18 18:15:16,2018-08-27 20:03:51,2018-09-19,-23.0,9.0,2018-08,2018,8,18212,uberlandia,MG,0,5.0,2.0,1.0,2.0
Dd0QnrMk9Cj5,mVz5LO2Vd6cL,delivered,2017-12-22 16:44:04,2017-12-22 17:31:31,2018-01-05 19:22:49,2018-01-18,-13.0,14.0,2017-12,2017,12,88868,ilhabela,SP,0,2.0,1.0,-1.0,2.0
VjTVGzqe8U6R,UkqnhxmX7YMP,delivered,2017-09-01 14:38:16,2017-09-01 14:50:24,2017-09-15 18:57:50,2017-09-26,-11.0,14.0,2017-09,2017,9,25902,porto uniao,SC,0,2.0,1.0,-1.0,2.0
xNba906m4TM1,85jiDiGSfhTu,delivered,2018-04-23 21:03:00,2018-04-24 18:18:18,2018-04-25 20:14:38,2018-05-04,-9.0,1.0,2018-04,2018,4,4762,guarulhos,SP,0,3.0,23.0,-1.0,2.0
VEDSMTavbQwk,gDdkaN8b9s1g,delivered,2018-02-23 14:49:39,2018-02-23 15:16:13,2018-04-02 14:12:50,2018-03-15,18.0,37.0,2018-02,2018,2,75870,mogi-guacu,SP,0,4.0,31.0,-1.0,1.0
DzNM8wrcMGFH,9Csx6oXlpLl1,delivered,2017-11-24 19:12:37,2017-11-25 04:54:03,2017-12-11 13:09:32,2017-12-14,-3.0,16.0,2017-11,2017,11,69068,bebedouro,SP,0,4.0,4.0,1.0,2.0
NpJz7zF9U1ae,gZTPKLPRnreg,delivered,2017-11-30 11:48:21,2017-11-30 13:31:19,2017-12-14 16:38:47,2018-01-03,-20.0,14.0,2017-11,2017,11,20921,sao paulo,SP,0,0.0,3.0,-1.0,3.0
mHyhzcUeLGj2,TDEBQrhIwApB,delivered,2018-04-02 22:39:59,2018-04-03 22:35:18,2018-04-13 18:12:30,2018-04-23,-10.0,10.0,2018-04,2018,4,1223,itaperuna,RJ,0,0.0,14.0,2.0,3.0
StM5K4TLyrt5,1k71TCYNFCzj,delivered,2018-05-30 09:25:25,2018-05-30 09:35:16,2018-06-21 18:22:15,2018-07-05,-14.0,22.0,2018-05,2018,5,11703,serra,ES,0,4.0,4.0,-1.0,2.0
Q97dFuo1kaq9,IfWKDQHkjLDd,delivered,2018-04-10 00:17:56,2018-04-10 00:35:11,2018-04-20 18:03:58,2018-05-04,-14.0,10.0,2018-04,2018,4,32407,sao goncalo,RJ,0,2.0,1.0,1.0,2.0
07j6mlMhSVtx,kZ0rkJCJ6N5y,delivered,2018-05-02 22:52:10,2018-05-03 00:13:21,2018-05-09 23:48:32,2018-05-18,-9.0,7.0,2018-05,2018,5,13843,mogi das cruzes,SP,0,4.0,5.0,-1.0,3.0
kxa1InBj9gwP,zsCKIdqYLV01,delivered,2017-04-24 20:06:41,2017-04-24 20:22:24,2017-05-05 10:22:27,2017-05-25,-20.0,10.0,2017-04,2017,4,2961,caico,RN,0,5.0,2.0,1.0,2.0
P5R6jr1qZdh4,FrEvnEiMKGpr,canceled,2017-07-24 11:38:43,2017-07-24 11:50:18,,2017-08-07,,,2017-07,2017,7,28630,sao paulo,SP,0,5.0,6.0,-1.0,5.0
HqV5f8K2UYoA,3zvaY9gUH9bO,delivered,2018-06-15 15:44:21,2018-06-15 16:00:22,2018-06-25 22:27:56,2018-07-11,-16.0,10.0,2018-06,2018,6,59020,barra mansa,RJ,0,4.0,4.0,-1.0,2.0
