feature,importance
num__delivery_time,0.6904339133939432
num__customer_zip_code_prefix,0.12883731252165825
num__order_month,0.08638550374378773
cat__customer_state_SP,0.021088551869014517
num__order_year,0.017472261513551805
cat__customer_state_RJ,0.009012938263090303
cat__customer_state_MG,0.00523065913070898
cat__customer_state_RS,0.00385275737397898
cat__customer_state_PR,0.003621442553082618
cat__customer_state_BA,0.0031666518533257034
cat__customer_state_PA,0.003072378374602226
cat__customer_state_CE,0.0030516317618188016
cat__customer_state_PE,0.0024720683556512424
cat__customer_state_SC,0.0023124681250562464
cat__customer_state_DF,0.0021571336095595915
cat__customer_state_AL,0.0018338630575067047
cat__customer_state_PB,0.0016539578274619993
cat__customer_state_MA,0.0015506449412845903
cat__customer_state_GO,0.0015172631308523774
cat__customer_state_ES,0.0015020600948427623
cat__customer_state_AM,0.0013019970445430514
cat__customer_state_MS,0.0012813494618839191
cat__customer_state_MT,0.0012783931609002496
cat__customer_state_PI,0.001156063002669128
cat__customer_state_RN,0.0011392447823585302
cat__customer_state_SE,0.0011118917163413602
cat__customer_state_TO,0.0010999289679259029
cat__customer_state_RO,0.0006954140733402618
cat__customer_state_RR,0.0003480357245360876
cat__customer_state_AP,0.00031282873095609965
cat__customer_state_AC,4.9391839766789095e-05
