model,feature,importance
AdaBoost,delivery_time,0.6349162225533644
AdaBoost,order_month,0.14110515541985905
AdaBoost,customer_state_SP,0.05561505352032233
AdaBoost,order_year,0.05339085113953839
AdaBoost,customer_state_PE,0.04376751826722133
AdaBoost,customer_state_RS,0.030781782521866755
AdaBoost,customer_state_TO,0.015712920298583063
AdaBoost,customer_state_RJ,0.010552396036420698
AdaBoost,customer_state_MG,0.006463878821073322
AdaBoost,customer_state_PI,0.005690227077789374
AdaBoost,customer_zip_code_prefix,0.0020039943439613397
AdaBoost,customer_state_AL,0.0
AdaBoost,customer_state_AM,0.0
AdaBoost,customer_state_AP,0.0
AdaBoost,customer_state_BA,0.0
AdaBoost,customer_state_CE,0.0
AdaBoost,customer_state_DF,0.0
AdaBoost,customer_state_ES,0.0
AdaBoost,customer_state_GO,0.0
AdaBoost,customer_state_MA,0.0
AdaBoost,customer_state_MS,0.0
AdaBoost,customer_state_MT,0.0
AdaBoost,customer_state_PA,0.0
AdaBoost,customer_state_PB,0.0
AdaBoost,customer_state_PR,0.0
AdaBoost,customer_state_RN,0.0
AdaBoost,customer_state_RO,0.0
AdaBoost,customer_state_RR,0.0
AdaBoost,customer_state_SC,0.0
AdaBoost,customer_state_SE,0.0
ExtraTrees,delivery_time,0.624229434233019
ExtraTrees,order_month,0.12251298561054662
ExtraTrees,customer_zip_code_prefix,0.10382109868342748
ExtraTrees,order_year,0.026194152981239362
ExtraTrees,customer_state_SP,0.02596602975009969
ExtraTrees,customer_state_MG,0.013611065786921823
ExtraTrees,customer_state_RJ,0.011604019588505923
ExtraTrees,customer_state_BA,0.007361391344038901
ExtraTrees,customer_state_TO,0.00671589268212232
ExtraTrees,customer_state_RS,0.0061819697337448815
ExtraTrees,customer_state_PE,0.005386696377410416
ExtraTrees,customer_state_PI,0.005265147467198906
ExtraTrees,customer_state_PR,0.0043970386616762145
ExtraTrees,customer_state_ES,0.0040029094091477615
ExtraTrees,customer_state_SC,0.003992110771574378
ExtraTrees,customer_state_MS,0.00389369043542835
ExtraTrees,customer_state_DF,0.0035243907147494906
ExtraTrees,customer_state_MT,0.003401190144614774
ExtraTrees,customer_state_PB,0.0028871871863132247
ExtraTrees,customer_state_CE,0.002776253971090246
ExtraTrees,customer_state_GO,0.0022851136945698687
ExtraTrees,customer_state_RO,0.0018381467311611047
ExtraTrees,customer_state_PA,0.0016948425021531498
ExtraTrees,customer_state_RN,0.0016699243224663316
ExtraTrees,customer_state_SE,0.0016329846798715162
ExtraTrees,customer_state_MA,0.001525792732243896
ExtraTrees,customer_state_AL,0.0013013047395567503
ExtraTrees,customer_state_AP,0.0003084217216408353
ExtraTrees,customer_state_RR,1.8813343466847653e-05
ExtraTrees,customer_state_AM,0.0
GradientBoosting,delivery_time,0.8160834554308947
GradientBoosting,customer_state_SP,0.043073398728014946
GradientBoosting,customer_zip_code_prefix,0.04288881168720893
GradientBoosting,order_month,0.027514997512057843
GradientBoosting,customer_state_PE,0.010303376063749432
GradientBoosting,order_year,0.010147383981071526
GradientBoosting,customer_state_RO,0.009270175980097543
GradientBoosting,customer_state_RS,0.007543555863981837
GradientBoosting,customer_state_RJ,0.0065709579664416954
GradientBoosting,customer_state_TO,0.006139979063624571
GradientBoosting,customer_state_ES,0.005660400679936781
GradientBoosting,customer_state_PI,0.004638887926026812
GradientBoosting,customer_state_DF,0.002714269315290616
GradientBoosting,customer_state_AP,0.0025393039708293264
GradientBoosting,customer_state_PR,0.0013217643941257579
GradientBoosting,customer_state_PB,0.0012153594689490272
GradientBoosting,customer_state_MS,0.001178860335756553
GradientBoosting,customer_state_AL,0.0005938385906119723
GradientBoosting,customer_state_PA,0.00030214553324110245
GradientBoosting,customer_state_MT,0.00023247574380665093
GradientBoosting,customer_state_BA,3.993526804822333e-05
GradientBoosting,customer_state_MG,2.6666496234097245e-05
GradientBoosting,customer_state_AM,0.0
GradientBoosting,customer_state_CE,0.0
GradientBoosting,customer_state_GO,0.0
GradientBoosting,customer_state_MA,0.0
GradientBoosting,customer_state_RN,0.0
GradientBoosting,customer_state_RR,0.0
GradientBoosting,customer_state_SC,0.0
GradientBoosting,customer_state_SE,0.0
RandomForest,delivery_time,0.6825926433756289
RandomForest,customer_zip_code_prefix,0.10327302266289808
RandomForest,order_month,0.0900272997786942
RandomForest,customer_state_SP,0.025248208650111615
RandomForest,order_year,0.020880835562053304
RandomForest,customer_state_MG,0.01021101925300563
RandomForest,customer_state_RJ,0.009304707161181001
RandomForest,customer_state_TO,0.006426312622909587
RandomForest,customer_state_RS,0.00612000025519582
RandomForest,customer_state_BA,0.004833267596988716
RandomForest,customer_state_SC,0.004406168252674112
RandomForest,customer_state_PI,0.004188605413862141
RandomForest,customer_state_PE,0.0037370520346246354
RandomForest,customer_state_MS,0.003634576347410811
RandomForest,customer_state_MT,0.0029395270769438024
RandomForest,customer_state_GO,0.002572654845718314
RandomForest,customer_state_PR,0.0025543742545675752
RandomForest,customer_state_CE,0.002396701614075242
RandomForest,customer_state_PB,0.002272222016065424
RandomForest,customer_state_RO,0.0020331905459562895
RandomForest,customer_state_DF,0.0019268588342887763
RandomForest,customer_state_ES,0.001623329483971984
RandomForest,customer_state_PA,0.0015719024944354223
RandomForest,customer_state_RN,0.001330638411021021
RandomForest,customer_state_MA,0.0012609766894831282
RandomForest,customer_state_AL,0.001172478309214331
RandomForest,customer_state_SE,0.0010526698726945867
RandomForest,customer_state_AP,0.0004059921733295495
RandomForest,customer_state_RR,2.7644109960336486e-06
RandomForest,customer_state_AM,0.0
