feature,importance_mean
num__delivery_time,0.6353386318496403
num__order_month,0.08890997225940356
num__order_year,0.0778691697262651
num__customer_zip_code_prefix,0.07354412957038799
cat__customer_state_SP,0.05292429291805525
cat__customer_state_RJ,0.010645245607337527
cat__customer_state_MG,0.007570885886472287
cat__customer_state_PA,0.006246093461376822
cat__customer_state_RN,0.005657860584104054
cat__customer_state_AM,0.004551495468400688
cat__customer_state_SE,0.0038197050346169465
cat__customer_state_RR,0.0033122103699249343
cat__customer_state_BA,0.0032628048587532116
cat__customer_state_CE,0.00294854964408828
cat__customer_state_RS,0.0026278710424781603
cat__customer_state_PR,0.002358723922437861
cat__customer_state_RO,0.0023381991546597594
cat__customer_state_AL,0.0021492252317236813
cat__customer_state_PE,0.002135866143242217
cat__customer_state_PB,0.00197677985345805
cat__customer_state_SC,0.001579961650598591
cat__customer_state_AP,0.0014322480472434538
cat__customer_state_PI,0.0013588487841340133
cat__customer_state_AC,0.001207113161971192
cat__customer_state_ES,0.0009613447101862297
cat__customer_state_DF,0.0009191413064311132
cat__customer_state_MT,0.0006050608749235594
cat__customer_state_MA,0.0005761994198321874
cat__customer_state_TO,0.0005280085021344458
cat__customer_state_GO,0.000524828206725735
cat__customer_state_MS,0.00011953274899296192
