metric,value
accuracy,1.0
fi__delivery_delay,0.0
fi__delivery_time,0.0
fi__order_year,0.0
fi__order_month,0.0
fi__customer_zip_code_prefix,0.0
fi__kmeans_label,0.0
fi__dbscan_label,0.0
fi__agglomerative_label,0.0
fi__gmm_label,0.0
fi__customer_state_AL,0.0
fi__customer_state_AM,0.0
fi__customer_state_AP,0.0
fi__customer_state_BA,0.0
fi__customer_state_CE,0.0
fi__customer_state_DF,0.0
fi__customer_state_ES,0.0
fi__customer_state_GO,0.0
fi__customer_state_MA,0.0
fi__customer_state_MG,0.0
fi__customer_state_MS,0.0
fi__customer_state_MT,0.0
fi__customer_state_PA,0.0
fi__customer_state_PB,0.0
fi__customer_state_PE,0.0
fi__customer_state_PI,0.0
fi__customer_state_PR,0.0
fi__customer_state_RJ,0.0
fi__customer_state_RN,0.0
fi__customer_state_RO,0.0
fi__customer_state_RR,0.0
fi__customer_state_RS,0.0
fi__customer_state_SC,0.0
fi__customer_state_SE,0.0
fi__customer_state_SP,0.0
fi__customer_state_TO,0.0
