model,feature,importance
ElasticNet,delivery_delay,0.0
ElasticNet,delivery_time,0.0
ElasticNet,order_year,0.0
ElasticNet,order_month,0.0
ElasticNet,customer_zip_code_prefix,0.0
ElasticNet,kmeans_label,0.0
ElasticNet,dbscan_label,0.0
ElasticNet,agglomerative_label,0.0
ElasticNet,gmm_label,0.0
ElasticNet,customer_state_AL,0.0
ElasticNet,customer_state_AM,0.0
ElasticNet,customer_state_AP,0.0
ElasticNet,customer_state_BA,0.0
ElasticNet,customer_state_CE,0.0
ElasticNet,customer_state_DF,0.0
ElasticNet,customer_state_ES,0.0
ElasticNet,customer_state_GO,0.0
ElasticNet,customer_state_MA,0.0
ElasticNet,customer_state_MG,0.0
ElasticNet,customer_state_MS,0.0
ElasticNet,customer_state_MT,0.0
ElasticNet,customer_state_PA,0.0
ElasticNet,customer_state_PB,0.0
ElasticNet,customer_state_PE,0.0
ElasticNet,customer_state_PI,0.0
ElasticNet,customer_state_PR,0.0
ElasticNet,customer_state_RJ,0.0
ElasticNet,customer_state_RN,0.0
ElasticNet,customer_state_RO,0.0
ElasticNet,customer_state_RR,0.0
ElasticNet,customer_state_RS,0.0
ElasticNet,customer_state_SC,0.0
ElasticNet,customer_state_SE,0.0
ElasticNet,customer_state_SP,0.0
ElasticNet,customer_state_TO,0.0
ExtraTrees,delivery_delay,0.0
ExtraTrees,delivery_time,0.0
ExtraTrees,order_year,0.0
ExtraTrees,order_month,0.0
ExtraTrees,customer_zip_code_prefix,0.0
ExtraTrees,kmeans_label,0.0
ExtraTrees,dbscan_label,0.0
ExtraTrees,agglomerative_label,0.0
ExtraTrees,gmm_label,0.0
ExtraTrees,customer_state_AL,0.0
ExtraTrees,customer_state_AM,0.0
ExtraTrees,customer_state_AP,0.0
ExtraTrees,customer_state_BA,0.0
ExtraTrees,customer_state_CE,0.0
ExtraTrees,customer_state_DF,0.0
ExtraTrees,customer_state_ES,0.0
ExtraTrees,customer_state_GO,0.0
ExtraTrees,customer_state_MA,0.0
ExtraTrees,customer_state_MG,0.0
ExtraTrees,customer_state_MS,0.0
ExtraTrees,customer_state_MT,0.0
ExtraTrees,customer_state_PA,0.0
ExtraTrees,customer_state_PB,0.0
ExtraTrees,customer_state_PE,0.0
ExtraTrees,customer_state_PI,0.0
ExtraTrees,customer_state_PR,0.0
ExtraTrees,customer_state_RJ,0.0
ExtraTrees,customer_state_RN,0.0
ExtraTrees,customer_state_RO,0.0
ExtraTrees,customer_state_RR,0.0
ExtraTrees,customer_state_RS,0.0
ExtraTrees,customer_state_SC,0.0
ExtraTrees,customer_state_SE,0.0
ExtraTrees,customer_state_SP,0.0
ExtraTrees,customer_state_TO,0.0
GradientBoosting,delivery_delay,0.0
GradientBoosting,delivery_time,0.0
GradientBoosting,order_year,0.0
GradientBoosting,order_month,0.0
GradientBoosting,customer_zip_code_prefix,0.0
GradientBoosting,kmeans_label,0.0
GradientBoosting,dbscan_label,0.0
GradientBoosting,agglomerative_label,0.0
GradientBoosting,gmm_label,0.0
GradientBoosting,customer_state_AL,0.0
GradientBoosting,customer_state_AM,0.0
GradientBoosting,customer_state_AP,0.0
GradientBoosting,customer_state_BA,0.0
GradientBoosting,customer_state_CE,0.0
GradientBoosting,customer_state_DF,0.0
GradientBoosting,customer_state_ES,0.0
GradientBoosting,customer_state_GO,0.0
GradientBoosting,customer_state_MA,0.0
GradientBoosting,customer_state_MG,0.0
GradientBoosting,customer_state_MS,0.0
GradientBoosting,customer_state_MT,0.0
GradientBoosting,customer_state_PA,0.0
GradientBoosting,customer_state_PB,0.0
GradientBoosting,customer_state_PE,0.0
GradientBoosting,customer_state_PI,0.0
GradientBoosting,customer_state_PR,0.0
GradientBoosting,customer_state_RJ,0.0
GradientBoosting,customer_state_RN,0.0
GradientBoosting,customer_state_RO,0.0
GradientBoosting,customer_state_RR,0.0
GradientBoosting,customer_state_RS,0.0
GradientBoosting,customer_state_SC,0.0
GradientBoosting,customer_state_SE,0.0
GradientBoosting,customer_state_SP,0.0
GradientBoosting,customer_state_TO,0.0
Lasso,delivery_delay,0.0
Lasso,delivery_time,0.0
Lasso,order_year,0.0
Lasso,order_month,0.0
Lasso,customer_zip_code_prefix,0.0
Lasso,kmeans_label,0.0
Lasso,dbscan_label,0.0
Lasso,agglomerative_label,0.0
Lasso,gmm_label,0.0
Lasso,customer_state_AL,0.0
Lasso,customer_state_AM,0.0
Lasso,customer_state_AP,0.0
Lasso,customer_state_BA,0.0
Lasso,customer_state_CE,0.0
Lasso,customer_state_DF,0.0
Lasso,customer_state_ES,0.0
Lasso,customer_state_GO,0.0
Lasso,customer_state_MA,0.0
Lasso,customer_state_MG,0.0
Lasso,customer_state_MS,0.0
Lasso,customer_state_MT,0.0
Lasso,customer_state_PA,0.0
Lasso,customer_state_PB,0.0
Lasso,customer_state_PE,0.0
Lasso,customer_state_PI,0.0
Lasso,customer_state_PR,0.0
Lasso,customer_state_RJ,0.0
Lasso,customer_state_RN,0.0
Lasso,customer_state_RO,0.0
Lasso,customer_state_RR,0.0
Lasso,customer_state_RS,0.0
Lasso,customer_state_SC,0.0
Lasso,customer_state_SE,0.0
Lasso,customer_state_SP,0.0
Lasso,customer_state_TO,0.0
LinearRegression,delivery_delay,0.0
LinearRegression,delivery_time,0.0
LinearRegression,order_year,0.0
LinearRegression,order_month,0.0
LinearRegression,customer_zip_code_prefix,0.0
LinearRegression,kmeans_label,0.0
LinearRegression,dbscan_label,0.0
LinearRegression,agglomerative_label,0.0
LinearRegression,gmm_label,0.0
LinearRegression,customer_state_AL,0.0
LinearRegression,customer_state_AM,0.0
LinearRegression,customer_state_AP,0.0
LinearRegression,customer_state_BA,0.0
LinearRegression,customer_state_CE,0.0
LinearRegression,customer_state_DF,0.0
LinearRegression,customer_state_ES,0.0
LinearRegression,customer_state_GO,0.0
LinearRegression,customer_state_MA,0.0
LinearRegression,customer_state_MG,0.0
LinearRegression,customer_state_MS,0.0
LinearRegression,customer_state_MT,0.0
LinearRegression,customer_state_PA,0.0
LinearRegression,customer_state_PB,0.0
LinearRegression,customer_state_PE,0.0
LinearRegression,customer_state_PI,0.0
LinearRegression,customer_state_PR,0.0
LinearRegression,customer_state_RJ,0.0
LinearRegression,customer_state_RN,0.0
LinearRegression,customer_state_RO,0.0
LinearRegression,customer_state_RR,0.0
LinearRegression,customer_state_RS,0.0
LinearRegression,customer_state_SC,0.0
LinearRegression,customer_state_SE,0.0
LinearRegression,customer_state_SP,0.0
LinearRegression,customer_state_TO,0.0
RandomForest,delivery_delay,0.0
RandomForest,delivery_time,0.0
RandomForest,order_year,0.0
RandomForest,order_month,0.0
RandomForest,customer_zip_code_prefix,0.0
RandomForest,kmeans_label,0.0
RandomForest,dbscan_label,0.0
RandomForest,agglomerative_label,0.0
RandomForest,gmm_label,0.0
RandomForest,customer_state_AL,0.0
RandomForest,customer_state_AM,0.0
RandomForest,customer_state_AP,0.0
RandomForest,customer_state_BA,0.0
RandomForest,customer_state_CE,0.0
RandomForest,customer_state_DF,0.0
RandomForest,customer_state_ES,0.0
RandomForest,customer_state_GO,0.0
RandomForest,customer_state_MA,0.0
RandomForest,customer_state_MG,0.0
RandomForest,customer_state_MS,0.0
RandomForest,customer_state_MT,0.0
RandomForest,customer_state_PA,0.0
RandomForest,customer_state_PB,0.0
RandomForest,customer_state_PE,0.0
RandomForest,customer_state_PI,0.0
RandomForest,customer_state_PR,0.0
RandomForest,customer_state_RJ,0.0
RandomForest,customer_state_RN,0.0
RandomForest,customer_state_RO,0.0
RandomForest,customer_state_RR,0.0
RandomForest,customer_state_RS,0.0
RandomForest,customer_state_SC,0.0
RandomForest,customer_state_SE,0.0
RandomForest,customer_state_SP,0.0
RandomForest,customer_state_TO,0.0
Ridge,delivery_delay,0.0
Ridge,delivery_time,0.0
Ridge,order_year,0.0
Ridge,order_month,0.0
Ridge,customer_zip_code_prefix,0.0
Ridge,kmeans_label,0.0
Ridge,dbscan_label,0.0
Ridge,agglomerative_label,0.0
Ridge,gmm_label,0.0
Ridge,customer_state_AL,0.0
Ridge,customer_state_AM,0.0
Ridge,customer_state_AP,0.0
Ridge,customer_state_BA,0.0
Ridge,customer_state_CE,0.0
Ridge,customer_state_DF,0.0
Ridge,customer_state_ES,0.0
Ridge,customer_state_GO,0.0
Ridge,customer_state_MA,0.0
Ridge,customer_state_MG,0.0
Ridge,customer_state_MS,0.0
Ridge,customer_state_MT,0.0
Ridge,customer_state_PA,0.0
Ridge,customer_state_PB,0.0
Ridge,customer_state_PE,0.0
Ridge,customer_state_PI,0.0
Ridge,customer_state_PR,0.0
Ridge,customer_state_RJ,0.0
Ridge,customer_state_RN,0.0
Ridge,customer_state_RO,0.0
Ridge,customer_state_RR,0.0
Ridge,customer_state_RS,0.0
Ridge,customer_state_SC,0.0
Ridge,customer_state_SE,0.0
Ridge,customer_state_SP,0.0
Ridge,customer_state_TO,0.0
