component,direction,feature,loading
PC1,positive,order_month,0.5746990807440827
PC1,positive,order_year_month_2017-11,0.3304562547066017
PC1,positive,order_year_month_2017-12,0.27327130668110367
PC1,positive,customer_state_RJ,0.030461465487486
PC1,positive,order_year_month_2018-08,-0.0007755142179400251
PC1,positive,customer_state_RS,-0.004287578326104531
PC1,positive,customer_state_SP,-0.007273325831139837
PC1,positive,customer_state_MG,-0.019705203515403013
PC1,positive,customer_zip_code_prefix,-0.02008524350978437
PC1,positive,delivery_time,-0.02589814782478458
PC1,negative,order_year,-0.5340755030441304
PC1,negative,order_year_month_2018-01,-0.24194982641852755
PC1,negative,order_year_month_2018-02,-0.23114691953069336
PC1,negative,order_year_month_2018-03,-0.20432580566919667
PC1,negative,order_year_month_2018-04,-0.16494638661696176
PC1,negative,order_year_month_2018-05,-0.10324389854764382
PC1,negative,order_year_month_2018-06,-0.0656718826700007
PC1,negative,order_year_month_2018-07,-0.03444162501885951
PC1,negative,delivery_delay,-0.03256195281230145
PC1,negative,delivery_time,-0.02589814782478458
PC2,positive,delivery_time,0.5875970226941245
PC2,positive,delivery_delay,0.38793952039630897
PC2,positive,customer_state_RJ,0.2686422021398305
PC2,positive,order_year_month_2018-02,0.19013812873876784
PC2,positive,order_year_month_2018-03,0.15959107029859523
PC2,positive,order_year_month_2017-11,0.12664002317482578
PC2,positive,customer_state_MG,0.11083937597698519
PC2,positive,customer_state_RS,0.0912287422307661
PC2,positive,order_year_month_2018-01,0.04608823918731371
PC2,positive,order_year_month_2017-12,0.03459588869175573
PC2,negative,customer_state_SP,-0.45668080755849266
PC2,negative,order_year_month_2018-06,-0.23878750390199016
PC2,negative,order_year_month_2018-08,-0.14545406505128103
PC2,negative,order_year_month_2018-07,-0.13476632151657003
PC2,negative,order_year,-0.11011759915364261
PC2,negative,order_year_month_2018-05,-0.0767161809764313
PC2,negative,order_month,-0.07023757490851915
PC2,negative,order_year_month_2018-04,-0.050702580237253624
PC2,negative,customer_zip_code_prefix,-0.008028971825315524
PC2,negative,order_year_month_2017-12,0.03459588869175573
