feature,PC1,PC2
customer_zip_code_prefix,-0.02008524350978437,-0.008028971825315524
delivery_delay,-0.03256195281230145,0.38793952039630897
delivery_time,-0.02589814782478458,0.5875970226941245
order_year,-0.5340755030441304,-0.11011759915364261
order_month,0.5746990807440827,-0.07023757490851915
customer_state_MG,-0.019705203515403013,0.11083937597698519
customer_state_RJ,0.030461465487486,0.2686422021398305
customer_state_RS,-0.004287578326104531,0.0912287422307661
customer_state_SP,-0.007273325831139837,-0.45668080755849266
order_year_month_2017-11,0.3304562547066017,0.12664002317482578
order_year_month_2017-12,0.27327130668110367,0.03459588869175573
order_year_month_2018-01,-0.24194982641852755,0.04608823918731371
order_year_month_2018-02,-0.23114691953069336,0.19013812873876784
order_year_month_2018-03,-0.20432580566919667,0.15959107029859523
order_year_month_2018-04,-0.16494638661696176,-0.050702580237253624
order_year_month_2018-05,-0.10324389854764382,-0.0767161809764313
order_year_month_2018-06,-0.0656718826700007,-0.23878750390199016
order_year_month_2018-07,-0.03444162501885951,-0.13476632151657003
order_year_month_2018-08,-0.0007755142179400251,-0.14545406505128103
