tsne_1,tsne_2,kmeans_label
0.784141,3.4123507,4
7.691759,73.8995,2
44.513065,62.739876,3
46.099922,-34.014725,5
8.307238,70.213264,2
9.968086,74.501274,2
47.4556,67.19502,3
-8.618233,-29.927128,4
46.735706,7.108499,4
-44.95589,-74.8806,0
-14.247705,-86.97941,0
26.589834,17.516619,4
15.66248,85.89471,2
-24.762915,-16.963057,4
28.212202,-31.40178,5
22.335733,-69.72005,5
45.952087,5.8797226,4
26.834766,12.661643,4
-6.3251634,-7.6835,2
-11.321473,50.560818,4
18.960674,13.050147,4
-68.99046,-41.109825,5
28.21376,11.4050865,4
-58.317368,13.902942,5
-40.415264,-29.839325,5
-38.151844,-4.5403614,4
66.52089,-0.7469259,3
-31.253166,32.84835,4
1.6295846,-76.868645,5
-8.701554,-17.437527,4
80.77722,-26.214413,5
18.240053,-76.48982,5
-57.833214,26.568861,6
-43.792583,-3.5448568,4
-27.57326,-17.393093,4
-22.70304,49.895515,2
1.746252,-57.787346,5
44.080772,12.311881,4
-14.057257,-91.04508,0
-41.098354,15.922675,5
-44.738335,-29.051525,5
-27.495213,29.413168,4
-55.07394,63.5737,1
-27.130249,-58.089836,0
-24.307789,-84.781624,0
31.625599,-25.009008,5
-13.079741,91.91601,4
39.81137,-44.617672,5
0.0142431175,-54.76415,5
48.12855,-34.92335,5
-6.2348433,-7.5226126,2
-7.5753355,-4.533825,2
-8.472105,52.47815,4
32.535706,-39.465572,5
13.442555,84.81359,2
8.885771,-12.0212345,4
29.91946,15.13217,4
28.106966,-22.698486,5
-4.86128,15.5859785,2
-72.82705,-41.3431,5
-46.40357,43.86773,6
-22.403366,16.096094,2
-38.08696,61.07772,1
-4.4904876,52.798126,4
-38.400585,-29.004957,5
-22.40208,16.079697,2
72.28821,-1.1782326,3
-58.60609,30.587072,6
47.799107,66.83225,3
-46.267136,-12.592266,4
37.62696,-45.73607,5
15.354795,5.2245455,4
-4.225752,-37.055904,4
-70.524055,-3.7518067,6
-56.474777,8.752704,5
4.4138026,-57.683254,5
-22.652231,15.443491,2
44.435715,67.016045,3
39.395153,14.514082,4
-21.622128,73.03541,1
21.009804,-22.279133,5
-63.294388,32.535522,6
22.287827,-27.684586,5
84.918564,1.5621955,3
31.24529,-48.117676,5
19.210638,15.7038145,4
-23.712566,49.752895,2
8.1426525,82.17378,2
49.82074,-38.604218,5
29.92302,-20.905148,5
-38.18186,-8.181917,4
4.882342,-63.541386,5
43.19719,67.75976,3
65.78285,-6.0844483,3
-6.104674,52.243446,4
25.344845,-71.04255,5
-55.67328,65.69205,1
42.4548,12.635462,4
18.970032,47.66215,4
44.93656,1.6378108,4
9.464423,44.57382,4
-38.748627,-44.66085,5
27.471306,-34.338245,5
45.262054,60.14404,3
-23.220259,13.580352,2
51.515614,41.75061,3
-11.333873,-48.6597,0
-54.661568,-55.622112,5
79.27113,34.365356,2
37.374622,7.82356,4
-29.487518,-63.973064,0
23.552385,3.6699176,4
-1.9399316,5.0046062,4
-68.48954,-39.802773,5
62.2591,20.68657,4
86.677025,-20.654844,5
86.93299,-20.30115,5
20.675852,-35.919743,5
21.564573,-76.87063,5
-40.20349,15.174292,5
9.219024,72.71112,2
13.050154,16.182508,4
-31.709143,-27.732872,5
39.645733,14.983127,4
69.43475,3.491708,3
-57.117207,-53.85698,5
27.75748,-29.745005,5
12.476641,9.816791,4
66.224846,54.77303,3
-42.370064,-33.34269,5
-56.80759,-20.97379,4
46.89156,-49.964565,5
13.940463,-34.410305,5
-61.84632,-47.75227,5
-64.664764,-43.53339,5
68.199684,-3.7209244,3
20.17508,-72.6525,5
16.983719,77.566666,2
39.885475,2.1627233,4
68.986824,-7.024057,3
25.978127,2.9253378,4
3.411883,-11.463443,4
0.48438138,-73.61778,5
-4.013103,53.373257,4
67.74692,20.872583,4
26.92861,-88.64735,5
34.759525,18.954731,4
30.128164,-48.014847,5
40.73529,3.0832016,4
-21.388166,-39.33181,0
-30.071503,41.13137,4
42.4662,5.14808,4
1.4413618,-54.41896,5
-75.481,-10.46276,6
48.064697,45.840107,3
-28.415365,-63.347763,0
32.768856,6.288391,4
-41.21756,68.17805,1
-24.745218,-18.863298,4
-87.24261,12.370148,1
9.782437,39.286247,4
-14.902583,24.108433,4
52.7613,39.205467,3
21.30763,-84.94198,5
80.09246,34.357216,2
-29.644766,-62.840324,0
-29.129477,30.435846,4
74.49909,-4.29288,3
78.234795,-29.23525,5
-44.746693,-3.9877396,4
-77.71841,-14.796017,6
27.671022,13.446016,4
30.548248,-42.338448,5
96.45126,20.602161,4
29.508657,-24.902576,5
33.631096,-35.89296,5
45.12226,68.14618,3
0.50031686,27.332361,4
-87.01338,23.613773,1
75.39253,6.652674,3
-36.545704,-37.51342,5
0.22900282,-32.27461,4
75.230255,32.540604,2
-2.1022677,4.9428024,4
-49.72792,7.502828,5
23.744177,41.924774,4
33.34395,-42.79499,5
29.650171,-34.348476,5
32.608147,56.748314,3
17.269558,36.502583,4
-26.90258,28.886717,4
-58.15416,35.763603,6
21.381008,42.275787,4
81.18522,-28.187012,5
-19.62963,72.18065,1
-32.34922,88.446175,1
-13.226433,-89.761116,0
-45.155018,-2.6480901,4
-22.534508,16.138163,2
37.066734,10.19101,4
47.74711,-31.597889,5
26.924105,12.8700905,4
18.321856,35.81107,4
55.095505,-36.57217,5
50.829723,-29.92143,5
10.374819,74.81532,2
46.816067,-51.891224,5
-34.58849,-41.99255,5
24.844875,-72.52534,5
-29.056938,37.848637,4
-10.980892,92.38036,4
-17.51008,-1.5357046,2
35.988373,17.794504,4
82.81202,2.8092883,3
37.872093,-32.87175,5
79.30132,4.4628797,3
-65.244736,-44.16215,5
-4.7024784,53.672363,4
-84.29263,11.982727,1
22.29396,-73.699585,5
-37.567005,-43.999874,5
-69.36733,-40.459915,5
22.976522,19.952972,4
85.0179,1.1118222,3
5.6891127,80.75223,2
-21.505571,-64.93065,0
48.233723,-50.175568,5
43.813187,-18.298346,5
66.96192,20.387249,4
-8.606659,-18.19669,4
48.46514,-49.95856,5
-30.725885,31.06576,4
7.4228716,37.7044,4
25.05022,-89.85204,5
-52.47227,65.724556,1
18.071924,8.975145,4
2.6681175,-76.21004,5
42.9444,46.445724,3
23.547338,-24.039845,5
-23.033384,9.922524,2
-37.854492,67.49147,1
-56.52592,-58.56718,5
20.568216,82.887054,2
-42.716335,12.327521,5
83.96352,-28.06578,5
0.50122875,-32.421776,4
68.09814,49.40167,3
62.376816,18.599346,4
77.77784,2.3848333,3
69.570175,51.059246,3
-19.681885,-17.767218,4
-4.067086,51.053852,4
4.450578,-13.695953,4
-100.09854,-0.8687821,6
27.166946,-87.72493,5
-53.669224,9.255913,5
-35.563156,30.206686,4
29.457264,20.187983,4
-66.058945,-41.57093,5
-67.914635,-46.867035,5
-13.578827,95.35127,4
-44.79376,-4.6048546,4
11.092349,37.464424,4
74.38596,-0.47946188,3
27.307064,-17.720797,5
22.739006,3.009904,4
-45.521652,-75.08321,0
2.1523542,-15.521214,4
-32.861496,-38.93687,5
7.938822,-14.928405,4
-40.19196,-31.055079,5
-13.515029,95.05564,4
-58.44422,-17.520288,4
75.43642,33.51784,2
21.138186,-33.95423,5
-39.256805,59.36425,1
14.820962,-35.168915,5
