umap_1,umap_2,kmeans_label
21.6832,5.8238907,4
1.4229813,9.549174,2
7.279334,-10.018248,3
3.9709513,-0.7976515,5
1.5331976,9.206227,2
1.5995054,9.658619,2
6.84161,-9.952408,3
5.9053006,23.86549,4
8.583665,6.3430734,4
-1.1388298,-11.505088,0
-6.291778,-7.1085253,0
6.4496837,6.746615,4
1.6011748,10.892037,2
-8.830213,12.709982,4
5.6642847,-0.9192027,5
19.445711,-4.943324,5
8.547428,6.102663,4
6.8386765,6.1159115,4
-4.064206,24.609589,2
-0.097155035,14.503979,4
6.169611,6.1577725,4
-1.0820091,20.740229,5
6.9071093,6.0694714,4
-5.0385084,5.081081,5
-9.25879,8.239046,5
7.34221,17.779402,4
13.156233,16.74571,3
14.482315,-0.7297428,4
3.7107744,23.602512,5
15.185516,22.411652,4
13.7385435,4.7508364,5
18.454676,-4.6596894,5
6.1472135,3.736859,6
7.108383,18.250225,4
-9.088691,12.792968,4
0.21865669,6.3262405,2
4.1620193,25.448921,5
8.006751,6.618077,4
-5.935223,-7.267747,0
-3.8291214,6.335226,5
-9.100318,7.9563613,5
14.576693,-1.2826791,4
17.718729,6.1764655,1
-5.7994943,-11.806621,0
-7.0656495,-7.8064117,0
4.952352,-0.3263078,5
-7.981447,18.66867,4
4.054915,-1.7846638,5
4.2434516,25.71402,5
3.7018397,-0.9423523,5
-4.066558,24.608505,2
-4.404953,24.276852,2
-0.048972882,14.289506,4
4.702373,-1.2923595,5
1.3707571,10.67208,2
19.614145,0.12053065,4
6.940053,6.5940547,4
5.2872424,-0.063486405,5
23.144367,2.6002004,2
-1.3277055,20.699432,5
9.815128,-13.988635,6
11.471258,21.502512,2
-0.9304811,2.572445,1
-0.030730858,13.929699,4
-9.45865,8.409272,5
11.48736,21.486301,2
13.61387,16.570375,3
-4.4783883,-0.28484666,6
6.848017,-9.937136,3
6.09044,17.680382,4
3.8108113,-1.2899696,5
6.1667747,5.21504,4
6.616152,24.073181,4
-5.1186934,-3.1220899,6
-5.34478,5.649623,5
3.8680353,25.439411,5
11.437683,21.536455,2
6.973372,-10.25043,3
7.888141,7.1028385,4
-1.9087987,7.2602367,1
6.3276463,-0.29297048,5
-4.340024,-0.95349944,6
5.9087877,-0.86054987,5
14.422587,15.687115,3
4.4794745,-2.2163258,5
6.203012,6.3661566,4
0.2776562,6.267956,2
1.0872085,10.179651,2
3.4083998,-1.0594802,5
5.5766797,-0.35300678,5
7.095227,17.425205,4
3.7200894,24.812157,5
6.888444,-10.430352,3
13.476186,17.214823,3
-0.04998101,14.124308,4
19.483992,-5.0472684,5
17.529263,5.9830356,1
8.133268,6.8637533,4
16.490202,10.515934,4
8.523694,5.9353952,4
16.915619,9.680811,4
-7.6081176,8.577157,5
5.603305,-0.7678838,5
7.5395994,-9.800521,3
11.315871,21.657179,2
10.642359,-8.170408,3
-12.203694,-2.5815818,0
0.8439112,19.495808,5
-12.720259,1.7013592,2
7.80339,6.32782,4
-6.318666,-11.654474,0
6.771827,5.215787,4
21.498379,5.5111904,4
-1.074634,20.744213,5
-10.188734,2.8408918,4
14.637852,5.0984116,5
14.623921,5.113652,5
6.288155,-1.2593997,5
18.635384,-5.079891,5
-3.8151011,6.407526,5
1.6162437,9.4998,2
5.530562,6.0934615,4
-8.97419,9.1218605,5
7.855159,7.194987,4
13.1361685,16.142931,3
0.5978905,19.842438,5
5.2295976,-1.0189067,5
5.69734,5.4272604,4
-12.451059,14.097235,3
-8.760659,8.165085,5
3.1845033,16.812904,4
3.675778,-2.2142742,5
6.3896766,-1.6907109,5
-0.028735893,20.178293,5
-0.5976101,20.547062,5
13.453173,16.96658,3
19.178267,-4.7659698,5
2.0972614,10.3109045,2
8.2058525,5.690085,4
13.605892,17.119282,3
7.051086,5.376697,4
19.47561,-0.361535,4
3.8256793,23.939283,5
-0.042625025,13.918968,4
-10.525578,2.3243382,4
17.517065,-5.9235435,5
7.172293,7.1453466,4
4.704901,-2.194733,5
8.2546425,5.734813,4
2.2372444,-10.12029,0
13.455163,-0.16522816,4
8.314807,5.9625053,4
4.1850104,25.625086,5
-5.7592125,-2.8132522,6
10.131431,-8.36739,3
-6.247236,-11.685944,0
7.480078,5.862063,4
-1.6339628,2.6336055,1
-8.844692,12.980311,4
10.455933,-2.7547517,1
17.511791,9.767988,4
8.821714,15.073825,4
11.028949,-8.218866,3
17.800978,-5.343009,5
-12.708861,1.7006062,2
-6.2860007,-11.790078,0
14.5934,-1.1281412,4
13.9085455,16.63127,3
13.385659,4.4136543,5
7.0439386,18.30353,4
-6.1459875,-2.4361498,6
6.9353666,6.2496123,4
4.8549633,-1.7813368,5
2.1195028,4.752633,4
5.263958,-0.3652737,5
4.6548057,-0.7704711,5
6.864618,-10.260243,3
1.1301109,29.104055,4
11.352717,-4.1087937,1
13.53216,15.587968,3
-8.289158,8.7588,5
6.3122377,24.51946,4
-12.204863,1.8400401,2
21.49952,5.513897,4
-4.817342,5.939612,5
16.882616,11.0664625,4
4.367516,-1.8427132,5
5.6256204,-0.94865215,5
5.3759036,13.265488,3
17.613926,10.535886,4
14.579191,-1.33688,4
-3.9421535,-0.4715086,6
16.89968,10.880043,4
13.736617,4.549101,5
-1.8483375,7.32562,1
-10.610704,21.174728,1
-5.996461,-7.2347665,0
7.079503,18.349386,4
11.484167,21.489649,2
7.7260466,6.192455,4
3.7770717,-0.64992416,5
6.8456326,6.187359,4
17.496449,10.668426,4
2.9485636,-1.117923,5
3.4872627,-0.6338933,5
1.6037899,9.65929,2
3.4373572,-2.3647456,5
-7.8925204,8.711921,5
19.343735,-5.068674,5
13.7939,-0.45832437,4
-7.7498255,18.528046,4
-6.9145923,12.839473,2
7.4057975,7.1191697,4
14.402197,15.568743,3
4.601525,-0.79735965,5
14.03926,15.5373335,3
-0.5835881,20.464088,5
-0.039748415,13.9479,4
10.684645,-2.5678546,1
19.15224,-5.002772,5
-7.679726,8.594659,5
-1.1198132,20.770298,5
6.200011,6.921633,4
14.533896,15.740062,3
0.9741626,9.978341,2
-5.7960153,-11.133765,0
3.6203308,-2.1947837,5
4.5285473,0.6731977,5
-10.465631,2.3641572,4
15.157439,22.439634,4
3.7980182,-2.1272125,5
14.639434,-0.9890224,4
17.592934,9.914642,4
17.379555,-5.86866,5
-1.2616738,4.0775003,1
6.4070983,5.6379766,4
3.6014745,23.616665,5
9.930323,-8.720592,3
5.9979186,-0.1509123,5
11.089014,21.881557,2
-1.5545983,2.9172623,1
0.64712834,19.372646,5
2.149561,10.848179,2
-4.2288094,6.3515935,5
14.037263,4.4908667,5
6.3298893,24.519266,4
-11.90937,14.603353,3
-10.346885,2.9027174,4
14.015989,15.799459,3
-12.065949,14.457801,3
-8.197733,12.830604,4
-0.16097993,13.981982,4
19.671642,-0.42263883,4
-4.7902274,17.822027,6
17.743593,-5.8448725,5
-4.9496846,5.5202155,5
15.03102,-0.66344005,4
6.712528,7.1418138,4
-0.8704533,20.723763,5
-0.77136356,20.261854,5
-8.142039,18.55936,4
7.0126176,18.281588,4
17.660475,9.917244,4
13.753604,16.248148,3
5.780848,0.34501714,5
6.7207837,5.134856,4
-1.152922,-11.490755,0
19.73699,-0.5810644,4
-8.390627,9.039956,5
19.856209,-0.12338374,4
-9.099032,8.275486,5
-8.153907,18.578901,4
3.3083746,16.894667,4
-12.335631,1.7819663,2
6.2421002,-1.1390306,5
-0.9354963,2.3998973,1
6.518643,-1.559893,5
3.3599439,16.950733,4
14.162623,4.756679,5
-5.3607616,5.307167,5
-0.8433697,14.634783,4
10.025364,-8.902508,3
-0.36203173,20.47264,5
19.491802,-0.24467899,4
2.980356,-1.3723443,5
0.46220487,19.521458,5
-12.34306,-2.4483442,0
3.648382,-0.54460025,5
-8.8822365,12.491383,4
10.488482,-2.6411767,1
-0.23184203,14.392285,4
3.3298397,16.91705,4
2.8709855,-1.9200038,5
4.029367,23.901459,5
19.94302,-0.7229615,4
9.834856,-8.591614,3
-4.6836395,-0.41122398,6
3.7372763,-0.8961313,5
-5.4793973,-11.333031,0
6.9315014,7.7210717,4
2.9562044,-1.8796667,5
2.8095243,-1.133261,5
2.0511816,4.8262467,4
11.310465,-4.1248317,1
1.5894959,9.726673,2
14.80936,-1.0218242,4
-4.156075,-1.835552,6
16.665064,9.832792,4
3.815066,0.3920631,5
13.624579,16.037868,3
7.6958537,5.675646,4
3.689408,-0.4425957,5
5.5271535,-1.5601233,5
19.823812,-0.66661024,4
4.6642613,0.6218827,5
18.127691,-5.1394486,5
14.640075,-0.5403211,4
-4.2403517,6.330022,5
-4.4423013,24.241716,2
-1.1555475,-11.488356,0
9.150169,15.400909,4
-0.71904755,2.713252,1
13.381088,17.147718,3
7.057781,5.2856474,4
17.61555,10.26448,4
